"Time (ms)","Recording (a.u.)"
0.000000000E0,5.051167682E-4
2.083412250E-2,1.273490721E-3
4.166824501E-2,2.058603335E-3
6.250236751E-2,2.746671438E-3
8.333649002E-2,3.472261131E-3
1.041706125E-1,4.114867188E-3
1.250047350E-1,4.874399863E-3
1.458388575E-1,5.705893040E-3
1.666729800E-1,6.367121823E-3
1.875071025E-1,7.279728074E-3
2.083412250E-1,8.027929813E-3
2.291753476E-1,8.651155047E-3
2.500094701E-1,9.605294093E-3
2.708435926E-1,1.029207371E-2
2.916777151E-1,1.104208268E-2
3.125118376E-1,1.188094076E-2
3.333459601E-1,1.237603743E-2
3.541800826E-1,1.299204119E-2
3.750142051E-1,1.358697377E-2
3.958483276E-1,1.403666846E-2
4.166824501E-1,1.435417589E-2
4.375165726E-1,1.458894555E-2
4.583506951E-1,1.487713493E-2
4.791848176E-1,1.508872025E-2
5.000189401E-1,1.539981272E-2
5.208530626E-1,1.557432115E-2
5.416871851E-1,1.562635601E-2
5.625213076E-1,1.570119895E-2
5.833554301E-1,1.560324710E-2
6.041895526E-1,1.570952684E-2
6.250236751E-1,1.574400254E-2
6.458577976E-1,1.555951312E-2
6.666919201E-1,1.565869153E-2
6.875260427E-1,1.556294784E-2
7.083601652E-1,1.529517863E-2
7.291942877E-1,1.509645302E-2
7.500284102E-1,1.463484671E-2
7.708625327E-1,1.428489201E-2
7.916966552E-1,1.380652748E-2
8.125307777E-1,1.321558282E-2
8.333649002E-1,1.282315794E-2
8.541990227E-1,1.220048591E-2
8.750331452E-1,1.174901985E-2
8.958672677E-1,1.124171354E-2
9.167013902E-1,1.051401719E-2
9.375355127E-1,9.985042736E-3
9.583696352E-1,9.269388393E-3
9.792037577E-1,8.588286117E-3
1.000037880E0,7.976187393E-3
1.020872003E0,7.209527306E-3
1.041706125E0,6.526572630E-3
1.062540248E0,5.783869885E-3
1.083374370E0,5.068860948E-3
1.104208493E0,4.378110170E-3
1.125042615E0,3.552776761E-3
1.145876738E0,2.894752659E-3
1.166710860E0,2.185253426E-3
1.187544983E0,1.446907176E-3
1.208379105E0,8.444699342E-4
1.229213228E0,9.596812015E-5
1.250047350E0,-5.461692344E-4
1.270881473E0,-1.276762807E-3
1.291715595E0,-1.993632875E-3
1.312549718E0,-2.506523859E-3
1.333383840E0,-3.169543575E-3
1.354217963E0,-3.652799642E-3
1.375052085E0,-4.069325980E-3
1.395886208E0,-4.489972256E-3
1.416720330E0,-4.839352332E-3
1.437554453E0,-5.221653730E-3
1.458388575E0,-5.495117977E-3
1.479222698E0,-5.871646572E-3
1.500056820E0,-6.107463501E-3
1.520890943E0,-6.247802638E-3
1.541725065E0,-6.580933463E-3
1.562559188E0,-6.640797015E-3
1.583393310E0,-6.595936604E-3
1.604227433E0,-6.584713235E-3
1.625061555E0,-6.448782980E-3
1.645895678E0,-6.369548384E-3
1.666729800E0,-6.182093173E-3
1.687563923E0,-6.013388745E-3
1.708398045E0,-5.858391523E-3
1.729232168E0,-5.623426288E-3
1.750066290E0,-5.360732786E-3
1.770900413E0,-4.843553994E-3
1.791734535E0,-4.459303804E-3
1.812568658E0,-4.054802470E-3
1.833402780E0,-3.498903709E-3
1.854236903E0,-3.058389761E-3
1.875071025E0,-2.370497677E-3
1.895905148E0,-1.701699337E-3
1.916739270E0,-1.116003259E-3
1.937573393E0,-5.163837341E-4
1.958407515E0,2.199443406E-5
1.979241638E0,6.822949508E-4
2.000075760E0,1.295600086E-3
2.020909883E0,2.062046435E-3
2.041744005E0,2.945406130E-3
2.062578128E0,3.689520527E-3
2.083412250E0,4.541274160E-3
2.104246373E0,5.289183930E-3
2.125080495E0,5.936396308E-3
2.145914618E0,6.728453562E-3
2.166748740E0,7.386366837E-3
2.187582863E0,8.039264940E-3
2.208416985E0,8.647606708E-3
2.229251108E0,9.065909311E-3
2.250085231E0,9.611736052E-3
2.270919353E0,1.019663829E-2
2.291753476E0,1.083445363E-2
2.312587598E0,1.138909720E-2
2.333421721E0,1.181632839E-2
2.354255843E0,1.225303113E-2
2.375089966E0,1.241083071E-2
2.395924088E0,1.256630663E-2
2.416758211E0,1.274843980E-2
2.437592333E0,1.286686119E-2
2.458426456E0,1.313253678E-2
2.479260578E0,1.336656325E-2
2.500094701E0,1.354922447E-2
2.520928823E0,1.364704408E-2
2.541762946E0,1.377916615E-2
2.562597068E0,1.384675503E-2
2.583431191E0,1.367884874E-2
2.604265313E0,1.350958459E-2
2.625099436E0,1.320542954E-2
