"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
9.574349258E1,8.828929663E-1,1.445671171E-1,-6.222475171E-1
9.576347958E1,8.572725058E-1,1.678349823E-1,-7.822113037E-1
9.578346658E1,7.993258238E-1,1.570814103E-1,-9.612028599E-1
9.580345358E1,7.110596299E-1,1.315022707E-1,-1.145844936E0
9.582344058E1,6.159150004E-1,8.817843348E-2,-1.331752419E0
9.584342658E1,5.212333798E-1,9.130055457E-2,-1.519283414E0
9.586341358E1,4.429285526E-1,1.319611371E-1,-1.696534157E0
9.588340058E1,3.864029050E-1,1.476964802E-1,-1.856269240E0
9.590338758E1,3.709374368E-1,1.628910154E-1,-2.002450943E0
9.592337458E1,3.901133835E-1,1.962249875E-1,-2.124509335E0
9.594336158E1,4.458107650E-1,2.129929513E-1,-2.233622789E0
9.596334758E1,5.358693004E-1,2.405251861E-1,-2.320822954E0
9.598333458E1,6.434711814E-1,2.198522389E-1,-2.388082266E0
9.600332158E1,7.587728500E-1,1.998475492E-1,-2.451811552E0
9.602330858E1,8.738721013E-1,2.028951049E-1,-2.501921892E0
9.604329558E1,9.709143043E-1,1.680418104E-1,-2.552958012E0
9.606328258E1,1.047583580E0,1.302184314E-1,-2.602424145E0
9.608326858E1,1.088471889E0,4.872102290E-2,-2.652034998E0
9.610325558E1,1.097458720E0,-1.567568444E-2,-2.709257126E0
9.612324258E1,1.071743488E0,-1.008599326E-1,-2.767451286E0
9.614322958E1,1.025184870E0,-1.606549919E-1,-2.836663485E0
9.616321658E1,9.603661895E-1,-2.640140057E-1,-2.901365042E0
9.618320258E1,9.004902840E-1,-3.487551212E-1,-2.954830885E0
9.620318958E1,8.652771711E-1,-4.033919871E-1,-2.988305807E0
9.622317658E1,8.713973165E-1,-4.190391004E-1,-2.995398521E0
9.624316358E1,9.344580770E-1,-3.555616140E-1,-2.973622561E0
9.626315058E1,1.055479527E0,-2.474489659E-1,-2.916713476E0
9.628313758E1,1.236566663E0,-1.562314779E-1,-2.828674316E0
9.630312358E1,1.449164510E0,-9.758115560E-2,-2.722103834E0
9.632311062E1,1.688821793E0,-2.206088975E-2,-2.591998100E0
9.634309762E1,1.930865169E0,5.213034339E-3,-2.458877563E0
9.636308462E1,2.160166025E0,9.925115108E-2,-2.313766241E0
9.638307162E1,2.359705448E0,1.259420663E-1,-2.181345463E0
9.640305863E1,2.498821497E0,1.599007696E-1,-2.060536146E0
9.642304462E1,2.571501493E0,1.859010458E-1,-1.965392470E0
9.644303162E1,2.565438747E0,2.525120676E-1,-1.890124321E0
9.646301862E1,2.474320412E0,3.249692917E-1,-1.846308708E0
9.648300562E1,2.304417610E0,4.029928744E-1,-1.830653310E0
9.650299262E1,2.056170940E0,4.312049747E-1,-1.846142769E0
9.652297962E1,1.745339990E0,4.491877258E-1,-1.883474231E0
9.654296562E1,1.390832305E0,2.740760148E-1,-1.930993795E0
9.656295262E1,1.005536318E0,1.041643098E-1,-1.987902880E0
9.658293962E1,6.360719204E-1,2.976392582E-2,-2.033510923E0
9.660292662E1,2.916810215E-1,1.612075567E-1,-2.057667732E0
9.662291362E1,1.129355095E-2,-8.522862196E-2,-2.048804760E0
9.664289962E1,-2.000117302E-1,-6.343892217E-2,-2.002634287E0
9.666288662E1,-3.154402971E-1,-1.530081332E-1,-1.923760653E0
9.668287362E1,-3.458530009E-1,-1.812519878E-1,-1.816053629E0
9.670286062E1,-3.145537972E-1,-1.331108958E-1,-1.687684417E0
9.672284762E1,-2.277245671E-1,-1.141092256E-1,-1.556593776E0
9.674283462E1,-1.067575589E-1,-8.220516145E-2,-1.416934729E0
9.676282062E1,3.728956729E-2,-1.472185925E-2,-1.279807210E0
9.678280762E1,1.827693284E-1,-6.434966624E-2,-1.144971609E0
9.680279462E1,3.019391894E-1,-1.799014360E-1,-1.023411870E0
9.682278162E1,3.861398697E-1,-2.193281651E-1,-9.108544588E-1
9.684276862E1,4.224659503E-1,-2.471763641E-1,-8.091515899E-1
9.686275562E1,4.032349288E-1,-2.350252122E-1,-7.236987352E-1
9.688274162E1,3.349172175E-1,-2.752268910E-1,-6.509145498E-1
9.690272862E1,2.147393078E-1,-2.985268831E-1,-5.883954763E-1
9.692271562E1,5.995690078E-2,-1.538550109E-1,-5.388953686E-1
9.694270262E1,-1.184196398E-1,-3.277519941E-1,-4.986791909E-1
9.696268962E1,-3.153059781E-1,-3.843039870E-1,-4.624255598E-1
9.698267562E1,-5.108091831E-1,-4.932433367E-1,-4.280945063E-1
9.700266262E1,-6.847895980E-1,-5.940350890E-1,-3.884775937E-1
9.702264962E1,-8.187558055E-1,-5.941341519E-1,-3.459935188E-1
9.704263662E1,-9.077110887E-1,-5.577056408E-1,-2.960560918E-1
9.706262362E1,-9.390989542E-1,-7.482163906E-1,-2.431153208E-1
9.708261062E1,-9.286887646E-1,-5.975826383E-1,-1.847308725E-1
9.710259662E1,-8.746283054E-1,-7.408454418E-1,-1.275924593E-1
9.712258362E1,-7.951531410E-1,-7.256736755E-1,-7.287461311E-2
9.714257063E1,-6.881413460E-1,-7.981920838E-1,-1.102429535E-2
9.716255762E1,-5.837271810E-1,-7.892419100E-1,4.048680142E-2
9.718254462E1,-4.764083028E-1,-7.655776739E-1,8.606946468E-2
9.720253162E1,-3.720028102E-1,-7.441418171E-1,1.267934591E-1
9.722251762E1,-2.850375175E-1,-8.065159321E-1,1.626327038E-1
9.724250462E1,-2.186227888E-1,-8.445897698E-1,1.910813898E-1
9.726249162E1,-1.924676895E-1,-8.097234368E-1,2.097887844E-1
9.728247862E1,-1.950118840E-1,-8.511974216E-1,2.204336524E-1
9.730246562E1,-2.300156653E-1,-6.266537905E-1,2.249919176E-1
9.732245146E1,-2.861656845E-1,-7.004832625E-1,2.214931101E-1
9.734243846E1,-3.452562392E-1,-6.549208164E-1,2.157465219E-1
