"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.234522876E2,-8.294216931E-2,7.263594009E-3,1.178807812E-3
1.234722756E2,-1.097387892E-1,-1.914287042E-3,1.913210789E-2
1.234922626E2,-1.108345574E-1,1.290668702E-2,2.191536427E-3
1.235122506E2,-8.708726048E-2,4.227409009E-3,1.285450062E-2
1.235322386E2,-6.046254873E-2,6.483849529E-3,7.631767597E-3
1.235522266E2,-7.363515615E-2,1.324502153E-2,3.735201359E-3
1.235722136E2,-8.682705939E-2,1.927571185E-4,-1.194019709E-3
1.235922016E2,-8.805205107E-2,2.111652497E-2,-7.590855360E-3
1.236121896E2,-8.611837685E-2,2.466393935E-2,-6.900874777E-3
1.236321776E2,-5.585377336E-2,7.877442017E-3,-8.209481640E-3
1.236521646E2,-4.351907194E-2,7.400382310E-4,5.882298946E-3
1.236721526E2,-6.037367105E-2,5.782896280E-3,3.925802317E-3
1.236921406E2,-1.051066250E-1,1.128532721E-2,1.237035116E-2
1.237121276E2,-9.163639426E-2,2.687475331E-2,-2.212586403E-3
1.237321156E2,-5.151689351E-2,1.541751796E-2,-8.876256086E-4
1.237521036E2,-4.117024541E-2,7.543145735E-3,2.457009153E-3
1.237720916E2,-3.185329199E-2,-3.942613062E-3,1.902801831E-2
1.237920786E2,-4.783724070E-2,5.570898168E-3,-1.421575069E-2
1.238120666E2,-4.874355912E-2,4.340826720E-4,-1.060098371E-2
1.238320546E2,-3.769816875E-2,2.682464998E-3,-4.619300365E-3
1.238520426E2,-3.085458755E-2,7.321627624E-4,-1.250366768E-2
1.238720296E2,-1.602195561E-2,-4.248166624E-3,-2.654654179E-3
1.238920176E2,-1.027531207E-2,-1.644529402E-4,9.217550755E-3
1.239120056E2,-3.476052761E-2,-9.707456063E-3,1.343690157E-2
1.239319936E2,-3.176441431E-2,-2.255015261E-4,-8.167390823E-3
1.239519806E2,-6.234886050E-2,-1.279878762E-2,-1.161607862E-2
1.239719686E2,-4.009903550E-2,4.005799536E-3,-1.440872708E-2
1.239919566E2,-2.783567011E-2,1.178153655E-2,-4.718703032E-3
1.240119446E2,-3.849222064E-3,5.614350289E-3,-7.145315800E-3
1.240319316E2,-6.499180198E-3,6.141495053E-3,-1.140910545E-2
1.240519196E2,-2.547456443E-2,-7.034017704E-4,-1.312933803E-2
1.240719076E2,-2.559969485E-2,8.807935026E-3,-7.609584723E-3
1.240918956E2,-2.304680049E-2,-1.060067307E-2,-3.760910835E-3
1.241118826E2,1.394151628E-2,-2.531964976E-2,-1.445197821E-2
1.241318706E2,-1.890404820E-3,-5.840509627E-3,-1.417949796E-2
1.241518586E2,-1.412161052E-2,-8.177075274E-3,-1.613129854E-2
1.241718466E2,-3.654802144E-2,-8.804225698E-3,-8.298359318E-3
1.241918336E2,-3.222400546E-2,-2.772128396E-3,-5.008724928E-3
1.242118216E2,-2.240419149E-2,-6.939256266E-3,-8.105428610E-3
1.242318096E2,-1.331001699E-2,-1.169483330E-2,-9.349716101E-3
1.242517976E2,-2.063365459E-2,-1.999734962E-2,-1.501798868E-2
1.242717846E2,-4.454467356E-2,-4.246814456E-3,-1.050629536E-2
1.242917726E2,-4.243324399E-2,-1.813627224E-2,-6.661120662E-3
1.243117606E2,-3.033418536E-2,-1.355823129E-2,-5.213377476E-3
1.243317486E2,-6.728391051E-3,-4.297465961E-3,-1.075887680E-4
1.243517356E2,-1.646049678E-2,-8.996032644E-3,-1.308625136E-3
1.243717236E2,-2.439107537E-2,-7.065811940E-3,-1.055069765E-2
1.243917116E2,-6.301485837E-2,-2.331209963E-2,4.524557199E-3
1.244116996E2,-6.303707778E-2,5.766231716E-3,-2.180779377E-2
1.244316866E2,-5.678348064E-2,-2.387673967E-4,-2.105231524E-2
1.244516746E2,-6.008949637E-2,-3.966056742E-3,5.181802511E-3
1.244716626E2,-4.122462451E-2,-1.659580501E-2,8.600066509E-3
1.244916506E2,-5.152917266E-2,-1.143291458E-2,6.457646694E-3
1.245116376E2,-7.603660762E-2,-9.365869034E-3,1.879996777E-2
1.245316256E2,-9.769995689E-2,-2.664777171E-3,4.364245732E-2
1.245516136E2,-1.075794125E-1,1.648375774E-2,4.338051120E-2
1.245716016E2,-6.481170774E-2,-3.620230481E-3,4.327992082E-2
1.245915886E2,-5.049830854E-2,-1.168072689E-3,1.616638184E-2
1.246115766E2,-6.504793525E-2,3.337243516E-3,1.735687494E-2
1.246315646E2,-8.134120166E-2,-1.977309063E-3,9.308749046E-3
1.246515526E2,-9.602297544E-2,4.650710877E-3,-2.377496157E-3
1.246715396E2,-9.459800899E-2,-6.372259073E-3,7.577808760E-4
1.246915276E2,-7.341997862E-2,8.649840932E-3,-1.967823783E-2
1.247115156E2,-5.965914130E-2,1.706126165E-3,-1.681307475E-2
1.247315036E2,-8.058340251E-2,9.924369492E-4,-3.356484510E-4
1.247514906E2,-1.030092287E-1,1.136934439E-2,-1.629268169E-2
1.247714786E2,-1.012363529E-1,2.829613835E-3,-1.110503197E-2
1.247914666E2,-9.155687213E-2,-5.370978210E-3,-1.475252509E-2
1.248114546E2,-7.481570899E-2,-1.110824794E-3,-9.067862034E-3
1.248314416E2,-7.526828349E-2,-1.579990759E-3,-1.010517636E-2
1.248514296E2,-6.283534884E-2,5.973076969E-3,-1.705514948E-2
1.248714176E2,-6.372178674E-2,4.711649828E-3,-1.526123285E-3
1.248914056E2,-8.602657557E-2,-9.407073632E-4,-8.549789591E-3
1.249113926E2,-5.623793542E-2,3.769626841E-4,-1.360062361E-3
1.249313806E2,-4.440492511E-2,-1.128258632E-2,7.558092680E-3
1.249513686E2,-6.534614325E-2,6.618006583E-3,-1.188126812E-3
1.249713566E2,-4.000314116E-2,4.528449252E-3,-6.528991861E-3
1.249913436E2,-8.261004746E-2,1.299214773E-2,1.892186394E-3
1.250113316E2,-8.336843133E-2,2.125532325E-2,5.720924931E-3
1.250313196E2,-5.963633716E-2,7.307612579E-3,-1.919171294E-2
1.250513076E2,-4.682859600E-2,4.683692828E-3,-9.309927626E-3
1.250712946E2,-2.137332737E-2,6.226992309E-3,-8.297199011E-3
1.250912826E2,-3.985929966E-2,-2.755007017E-3,-8.774331808E-3
1.251112706E2,-5.238812864E-2,1.245659759E-2,8.314832021E-4
1.251312586E2,-4.808925569E-2,6.461136751E-3,-4.667265806E-3
1.251512456E2,-2.091022789E-2,2.047256380E-3,-2.126632333E-2
1.251712336E2,6.624310613E-3,5.607461538E-3,-9.094777498E-3
1.251912216E2,7.588516474E-3,7.524014376E-3,-2.464601398E-2
1.252112096E2,-7.894325852E-3,-4.358386640E-3,4.129312830E-3
1.252311966E2,-4.290219069E-2,-9.393679854E-3,1.333165169E-4
1.252511846E2,-4.370852172E-2,1.621432900E-2,-1.091207385E-2
1.252711726E2,-4.481715381E-2,7.016786691E-3,-5.870787241E-4
1.252911606E2,7.261657119E-3,-1.272524061E-2,-1.512091795E-2
1.253111476E2,-7.347026467E-3,-1.509275995E-2,-2.474072973E-2
1.253311356E2,-2.714803755E-2,-7.027896401E-3,-2.161129078E-2
1.253511236E2,-3.813904881E-2,-2.172507394E-2,-1.757789969E-2
1.253711116E2,-4.154154360E-2,8.346772436E-3,-4.101237059E-3
1.253910980E2,-1.103252649E-2,-2.861572523E-3,-6.875156164E-3
1.254110860E2,8.534011245E-3,-9.604143072E-3,-1.624241391E-2
1.254310740E2,7.033615708E-3,-2.659850892E-2,-1.367078106E-2
1.254510620E2,-2.946996689E-3,-1.085634258E-2,-6.414377298E-3
1.254710490E2,-3.974586368E-2,-9.970361497E-3,-3.826408787E-3
1.254910370E2,-3.948975563E-2,-7.924621738E-3,-5.982871056E-3
1.255110250E2,-5.361428976E-2,-1.306320967E-2,-3.162192497E-3
1.255310130E2,-1.529748559E-2,-1.274122909E-2,3.141358137E-2
1.255510000E2,-1.883505106E-2,-1.584697768E-2,1.456188759E-2
1.255709880E2,-2.764154255E-2,-2.461458519E-2,1.180085063E-1
1.255909760E2,-4.338634014E-2,-1.647156995E-2,5.763134519E-2
1.256109630E2,-4.237769544E-2,-1.415870380E-2,1.394909939E-2
1.256309510E2,-3.297829628E-2,8.689547181E-3,-1.659439802E-3
1.256509390E2,-1.848246396E-2,-4.347222112E-3,-7.034191294E-3
1.256709270E2,-1.550038397E-2,-1.658551756E-2,-7.317223940E-3
1.256909150E2,-5.188643754E-2,-7.228364535E-3,-2.460042397E-2
1.257109020E2,-6.401180863E-2,-1.532465687E-2,-2.369525671E-2
1.257308900E2,-5.622097850E-2,5.295530856E-3,-2.378881216E-2
1.257508780E2,-3.374252737E-2,-2.043545226E-2,-1.132604758E-2
1.257708660E2,-5.509889781E-2,-1.442657936E-2,-1.013090411E-2
1.257908530E2,-6.146651566E-2,-9.740620740E-3,-1.676279783E-2
1.258108410E2,-1.106819451E-1,-1.797688080E-2,-2.212939063E-2
1.258308290E2,-8.723753393E-2,-9.176510610E-3,-4.691805840E-3
1.258508170E2,-6.745231032E-2,-4.292240012E-3,-7.146457834E-3
1.258708040E2,-2.793840569E-1,5.349579228E-2,-3.594447184E-1
1.258907920E2,-1.563305730E-1,7.002272805E-2,2.340713516E-5
1.259107800E2,-1.671771580E-1,1.351851956E-1,6.484328270E-1
1.259307680E2,-1.273120111E-1,2.226278207E-1,6.186295688E-1
1.259507550E2,8.004370451E-2,2.269265840E-1,2.569137919E-1
1.259707430E2,3.173599684E-1,2.297266145E-1,1.635805722E-1
1.259907310E2,2.161300474E-1,2.443839762E-1,3.978330413E-2
1.260107190E2,9.628013599E-1,-1.013485327E-2,-4.801715221E-3
1.260307060E2,3.827599061E-1,-3.000526121E-2,-1.393087343E-1
1.260506940E2,-2.922923702E-1,-7.136607103E-2,-1.444414294E-1
1.260706820E2,-4.078719431E-1,-2.286279958E-1,-2.444627309E-1
1.260906700E2,-4.480908465E-1,-3.674776963E-1,-4.374144155E-1
1.261106570E2,-7.890162635E-1,-1.876251635E-1,-2.532341574E-1
1.261306450E2,1.047101837E-1,-4.331064063E-1,-3.455979270E-1
1.261506330E2,7.843045771E-2,-4.974667820E-1,-3.468439686E-1
1.261706210E2,4.352374971E-1,-5.499904199E-1,-3.012351018E-1
1.261906080E2,4.875414258E-1,-4.953248738E-1,-3.852835643E-1
1.262105960E2,-1.083969117E0,-3.486446187E-2,-2.488844136E-1
1.262305840E2,7.066126227E-1,-3.147802134E-1,-1.592524449E-1
1.262505710E2,2.343967491E-1,-3.082200395E-1,-2.901405948E-1
1.262705590E2,4.300387377E-1,-3.279737977E-1,-4.061271340E-1
1.262905470E2,-1.274108291E-1,-2.190767518E-1,-5.462392849E-1
1.263105350E2,-1.711433244E-1,-2.480564114E-1,-1.205355560E0
1.263305220E2,5.099298298E-2,-4.123153885E-1,-1.198388017E0
1.263505100E2,9.177614272E-2,-6.881804448E-1,2.682739964E0
1.263704980E2,5.241467500E-1,-1.166178776E0,3.879385511E0
1.263904857E2,-7.450738531E-1,-9.053626987E-1,-1.313308024E-1
1.264104737E2,-6.671059102E-1,-7.797120278E-1,-7.045818847E-1
1.264304608E2,-2.811820757E-1,6.993174903E-2,1.672326481E0
1.264504487E2,4.501999372E-1,1.445259216E-1,6.336849797E-1
1.264704367E2,7.323813021E-1,3.199316470E-1,-7.451896280E-1
1.264904247E2,4.847803706E-1,8.294385769E-1,-1.102084960E0
1.265104118E2,6.093055987E-1,7.836875497E-1,-1.752261427E0
1.265303997E2,3.867395210E-1,5.571895118E-1,-2.527777639E0
1.265503877E2,6.282733816E-1,3.004743791E-1,-2.529437079E0
1.265703748E2,9.955820203E-2,-7.141730726E-2,-1.936876152E0
1.265903627E2,-3.177517319E-1,-4.367548496E-1,-1.040949470E0
1.266103507E2,4.740682715E-1,-2.906457943E-1,1.804221978E-1
