Description	
Number of Runs	2500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	800
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	800	10	1	02/07/24 11:01:50 AM	
2	800	8	1	02/07/24 11:01:51 AM	
3	800	11	1	02/07/24 11:01:53 AM	
4	800	11	1	02/07/24 11:01:54 AM	
5	800	8	1	02/07/24 11:01:55 AM	
6	800	7	1	02/07/24 11:01:56 AM	
7	800	10	1	02/07/24 11:01:57 AM	
8	800	13	1	02/07/24 11:01:58 AM	
9	800	8	1	02/07/24 11:01:59 AM	
10	800	19	1	02/07/24 11:02:01 AM	
11	800	11	1	02/07/24 11:02:02 AM	
12	800	14	1	02/07/24 11:02:03 AM	
13	800	14	1	02/07/24 11:02:04 AM	
14	800	14	1	02/07/24 11:02:05 AM	
15	800	17	1	02/07/24 11:02:06 AM	
16	800	10	1	02/07/24 11:02:07 AM	
17	800	9	1	02/07/24 11:02:09 AM	
18	800	14	1	02/07/24 11:02:10 AM	
19	800	11	1	02/07/24 11:02:11 AM	
20	800	12	1	02/07/24 11:02:12 AM	
21	800	8	1	02/07/24 11:02:13 AM	
22	800	10	1	02/07/24 11:02:14 AM	
23	800	13	1	02/07/24 11:02:16 AM	
24	800	13	1	02/07/24 11:02:17 AM	
25	800	12	1	02/07/24 11:02:18 AM	
26	800	9	1	02/07/24 11:02:19 AM	
27	800	11	1	02/07/24 11:02:20 AM	
28	800	10	1	02/07/24 11:02:21 AM	
29	800	10	1	02/07/24 11:02:22 AM	
30	800	14	1	02/07/24 11:02:24 AM	
31	800	8	1	02/07/24 11:02:25 AM	
32	800	10	1	02/07/24 11:02:26 AM	
33	800	12	1	02/07/24 11:02:27 AM	
34	800	10	1	02/07/24 11:02:28 AM	
35	800	13	1	02/07/24 11:02:29 AM	
36	800	14	1	02/07/24 11:02:30 AM	
37	800	12	1	02/07/24 11:02:32 AM	
38	800	10	1	02/07/24 11:02:33 AM	
39	800	14	1	02/07/24 11:02:34 AM	
40	800	16	1	02/07/24 11:02:35 AM	
41	800	13	1	02/07/24 11:02:36 AM	
42	800	11	1	02/07/24 11:02:37 AM	
43	800	13	1	02/07/24 11:02:39 AM	
44	800	6	1	02/07/24 11:02:40 AM	
45	800	15	1	02/07/24 11:02:41 AM	
46	800	8	1	02/07/24 11:02:42 AM	
47	800	10	1	02/07/24 11:02:43 AM	
48	800	19	1	02/07/24 11:02:44 AM	
49	800	12	1	02/07/24 11:02:45 AM	
50	800	11	1	02/07/24 11:02:47 AM	
51	800	12	1	02/07/24 11:02:48 AM	
52	800	11	1	02/07/24 11:02:49 AM	
53	800	11	1	02/07/24 11:02:50 AM	
54	800	12	1	02/07/24 11:02:51 AM	
55	800	11	1	02/07/24 11:02:52 AM	
56	800	12	1	02/07/24 11:02:54 AM	
57	800	7	1	02/07/24 11:02:55 AM	
58	800	13	1	02/07/24 11:02:56 AM	
59	800	9	1	02/07/24 11:02:57 AM	
60	800	12	1	02/07/24 11:02:58 AM	
61	800	9	1	02/07/24 11:02:59 AM	
62	800	6	1	02/07/24 11:03:00 AM	
63	800	5	1	02/07/24 11:03:02 AM	
64	800	12	1	02/07/24 11:03:03 AM	
65	800	10	1	02/07/24 11:03:04 AM	
66	800	10	1	02/07/24 11:03:05 AM	
67	800	11	1	02/07/24 11:03:06 AM	
68	800	15	1	02/07/24 11:03:07 AM	
69	800	14	1	02/07/24 11:03:09 AM	
70	800	7	1	02/07/24 11:03:10 AM	
71	800	9	1	02/07/24 11:03:11 AM	
72	800	9	1	02/07/24 11:03:12 AM	
73	800	15	1	02/07/24 11:03:13 AM	
74	800	13	1	02/07/24 11:03:14 AM	
75	800	8	1	02/07/24 11:03:15 AM	
76	800	14	1	02/07/24 11:03:17 AM	
77	800	11	1	02/07/24 11:03:18 AM	
78	800	8	1	02/07/24 11:03:19 AM	
79	800	17	1	02/07/24 11:03:20 AM	
80	800	9	1	02/07/24 11:03:21 AM	
81	800	11	1	02/07/24 11:03:23 AM	
82	800	13	1	02/07/24 11:03:24 AM	
83	800	13	1	02/07/24 11:03:25 AM	
84	800	10	1	02/07/24 11:03:26 AM	
85	800	9	1	02/07/24 11:03:27 AM	
86	800	6	1	02/07/24 11:03:28 AM	
87	800	17	1	02/07/24 11:03:29 AM	
88	800	12	1	02/07/24 11:03:31 AM	
89	800	15	1	02/07/24 11:03:32 AM	
90	800	15	1	02/07/24 11:03:33 AM	
91	800	4	1	02/07/24 11:03:34 AM	
92	800	20	1	02/07/24 11:03:35 AM	
93	800	9	1	02/07/24 11:03:36 AM	
94	800	16	1	02/07/24 11:03:37 AM	
95	800	4	1	02/07/24 11:03:39 AM	
96	800	12	1	02/07/24 11:03:40 AM	
97	800	14	1	02/07/24 11:03:41 AM	
98	800	18	1	02/07/24 11:03:42 AM	
99	800	12	1	02/07/24 11:03:43 AM	
100	800	16	1	02/07/24 11:03:44 AM	
101	800	7	1	02/07/24 11:03:46 AM	
102	800	13	1	02/07/24 11:03:47 AM	
103	800	8	1	02/07/24 11:03:48 AM	
104	800	12	1	02/07/24 11:03:49 AM	
105	800	17	1	02/07/24 11:03:50 AM	
106	800	12	1	02/07/24 11:03:51 AM	
107	800	10	1	02/07/24 11:03:53 AM	
108	800	9	1	02/07/24 11:03:54 AM	
109	800	17	1	02/07/24 11:03:55 AM	
110	800	14	1	02/07/24 11:03:56 AM	
111	800	4	1	02/07/24 11:03:57 AM	
112	800	12	1	02/07/24 11:03:58 AM	
113	800	8	1	02/07/24 11:03:59 AM	
114	800	14	1	02/07/24 11:04:01 AM	
115	800	10	1	02/07/24 11:04:02 AM	
116	800	3	1	02/07/24 11:04:03 AM	
117	800	13	1	02/07/24 11:04:04 AM	
118	800	10	1	02/07/24 11:04:05 AM	
119	800	9	1	02/07/24 11:04:06 AM	
120	800	9	1	02/07/24 11:04:08 AM	
121	800	15	1	02/07/24 11:04:09 AM	
122	800	11	1	02/07/24 11:04:10 AM	
123	800	11	1	02/07/24 11:04:11 AM	
124	800	12	1	02/07/24 11:04:12 AM	
125	800	12	1	02/07/24 11:04:13 AM	
126	800	10	1	02/07/24 11:04:14 AM	
127	800	17	1	02/07/24 11:04:16 AM	
128	800	14	1	02/07/24 11:04:17 AM	
129	800	8	1	02/07/24 11:04:18 AM	
