Wavelength,Intensity Source #3,,starting W (nm),ending W (nm),Delta W (nm),Intensity,,,Source #3
341.909,1.587,,408.9,408.9,0,45.264,,Integration Time,751 ms
342.284,1.611,,432.5,434,1.5,99.976,,Number of Scans to Average,9
342.659,1.636,,484.2,487.1,2.9,99.976,,Smoothing,0
343.035,1.636,,653.5,658.7,5.2,99.976,,,
343.41,1.66,,,,,,,,
343.785,1.636,,,,,,,,
344.16,1.66,,,,,,,,
344.536,1.66,,,,,,,,
344.911,1.66,,,,,,,,
345.286,1.685,,,,,,,,
345.661,1.685,,,,,,,,
346.036,1.685,,,,,,,,
346.411,1.733,,,,,,,,
346.786,1.758,,,,,,,,
347.161,1.733,,,,,,,,
347.536,1.733,,,,,,,,
347.911,1.733,,,,,,,,
348.285,1.733,,,,,,,,
348.66,1.733,,,,,,,,
349.035,1.88,,,,,,,,
349.41,2.295,,,,,,,,
349.784,2.612,,,,,,,,
350.159,2.832,,,,,,,,
350.534,3.027,,,,,,,,
350.908,3.198,,,,,,,,
351.283,3.442,,,,,,,,
351.657,4.004,,,,,,,,
352.032,4.59,,,,,,,,
352.406,4.858,,,,,,,,
352.781,4.248,,,,,,,,
353.155,3.613,,,,,,,,
353.53,3.125,,,,,,,,
353.904,3.003,,,,,,,,
354.278,3.369,,,,,,,,
354.652,3.784,,,,,,,,
355.027,4.419,,,,,,,,
355.401,5.225,,,,,,,,
355.775,6.519,,,,,,,,
356.149,7.788,,,,,,,,
356.523,7.227,,,,,,,,
356.897,5.835,,,,,,,,
357.271,3.76,,,,,,,,
357.645,3.027,,,,,,,,
358.019,2.783,,,,,,,,
358.393,2.661,,,,,,,,
358.767,2.71,,,,,,,,
359.141,2.759,,,,,,,,
359.515,2.759,,,,,,,,
359.889,2.734,,,,,,,,
360.262,2.71,,,,,,,,
360.636,2.686,,,,,,,,
361.01,2.612,,,,,,,,
361.384,2.612,,,,,,,,
361.757,2.734,,,,,,,,
362.131,2.808,,,,,,,,
362.504,2.881,,,,,,,,
362.878,2.881,,,,,,,,
363.251,2.881,,,,,,,,
363.625,2.856,,,,,,,,
363.998,2.783,,,,,,,,
364.372,2.832,,,,,,,,
364.745,2.954,,,,,,,,
365.118,3.345,,,,,,,,
365.492,3.442,,,,,,,,
365.865,3.564,,,,,,,,
366.238,3.442,,,,,,,,
366.611,3.32,,,,,,,,
366.984,3.223,,,,,,,,
367.357,2.979,,,,,,,,
367.731,3.198,,,,,,,,
368.104,3.418,,,,,,,,
368.477,3.564,,,,,,,,
368.85,3.857,,,,,,,,
369.223,4.248,,,,,,,,
369.595,4.736,,,,,,,,
369.968,4.419,,,,,,,,
370.341,3.931,,,,,,,,
370.714,3.369,,,,,,,,
371.087,3.369,,,,,,,,
371.46,3.418,,,,,,,,
371.832,3.613,,,,,,,,
372.205,3.711,,,,,,,,
372.578,4.175,,,,,,,,
372.95,4.712,,,,,,,,
373.323,5.2,,,,,,,,
373.695,6.104,,,,,,,,
374.068,7.178,,,,,,,,
374.44,6.543,,,,,,,,
374.813,5.176,,,,,,,,
375.185,3.833,,,,,,,,
375.557,3.564,,,,,,,,
375.93,3.467,,,,,,,,
376.302,3.516,,,,,,,,
376.674,3.76,,,,,,,,
377.047,3.882,,,,,,,,
377.419,4.15,,,,,,,,
377.791,4.956,,,,,,,,
378.163,5.591,,,,,,,,
378.535,6.519,,,,,,,,
378.907,7.642,,,,,,,,
379.279,7.788,,,,,,,,
379.651,6.03,,,,,,,,
380.023,4.053,,,,,,,,
380.395,3.467,,,,,,,,
380.767,3.149,,,,,,,,
381.139,3.125,,,,,,,,
381.511,3.149,,,,,,,,
381.882,3.394,,,,,,,,
382.254,4.028,,,,,,,,
382.626,4.224,,,,,,,,
382.998,4.565,,,,,,,,
383.369,3.979,,,,,,,,
383.741,3.979,,,,,,,,
384.112,4.419,,,,,,,,
384.484,5.322,,,,,,,,
384.855,4.468,,,,,,,,
385.227,4.175,,,,,,,,
385.598,4.126,,,,,,,,
385.97,3.955,,,,,,,,
386.341,4.272,,,,,,,,
386.712,4.517,,,,,,,,
387.084,5.176,,,,,,,,
387.455,7.178,,,,,,,,
387.826,7.983,,,,,,,,
388.197,7.935,,,,,,,,
388.569,6.079,,,,,,,,
388.94,4.468,,,,,,,,
389.311,3.979,,,,,,,,
389.682,4.175,,,,,,,,
390.053,4.468,,,,,,,,
390.424,4.321,,,,,,,,
390.795,4.297,,,,,,,,
391.166,4.272,,,,,,,,
391.537,4.907,,,,,,,,
391.907,5.2,,,,,,,,
392.278,5.64,,,,,,,,
392.649,6.616,,,,,,,,
393.02,7.568,,,,,,,,
393.391,6.616,,,,,,,,
393.761,4.834,,,,,,,,
394.132,4.224,,,,,,,,
394.502,4.102,,,,,,,,
394.873,4.199,,,,,,,,
395.244,5.298,,,,,,,,
395.614,12.402,,,,,,,,
395.985,13.184,,,,,,,,
396.355,12.28,,,,,,,,
396.725,6.396,,,,,,,,
397.096,5.493,,,,,,,,
397.466,6.055,,,,,,,,
397.836,6.445,,,,,,,,
398.207,7.788,,,,,,,,
398.577,7.764,,,,,,,,
398.947,6.445,,,,,,,,
399.317,4.687,,,,,,,,
399.687,3.979,,,,,,,,
400.057,3.931,,,,,,,,
400.427,3.955,,,,,,,,
400.797,4.004,,,,,,,,
401.167,4.053,,,,,,,,
401.537,4.834,,,,,,,,
401.907,4.297,,,,,,,,
402.277,4.443,,,,,,,,
402.647,4.565,,,,,,,,
403.017,4.858,,,,,,,,
403.386,5.347,,,,,,,,
403.756,5.518,,,,,,,,
404.126,6.323,,,,,,,,
404.496,7.056,,,,,,,,
404.865,6.323,,,,,,,,
405.235,5.566,,,,,,,,
405.604,4.785,,,,,,,,
405.974,4.907,,,,,,,,
406.343,4.932,,,,,,,,
406.713,4.736,,,,,,,,
407.082,5.347,,,,,,,,
407.452,5.566,,,,,,,,
407.821,6.47,,,,,,,,
408.19,7.715,,,,,,,,
408.559,25.293,,,,,,,,
408.929,51.66,,,,,,,,
409.298,50.415,,,,,,,,
409.667,31.982,,,,,,,,
410.036,6.665,,,,,,,,
410.405,4.785,,,,,,,,
410.774,4.736,,,,,,,,
411.143,4.687,,,,,,,,
411.512,5.225,,,,,,,,
411.881,5.347,,,,,,,,
412.25,5.811,,,,,,,,
412.619,6.665,,,,,,,,
412.988,6.299,,,,,,,,
413.357,5.493,,,,,,,,
413.725,4.663,,,,,,,,
414.094,4.248,,,,,,,,
414.463,4.565,,,,,,,,
414.832,4.468,,,,,,,,
415.2,4.321,,,,,,,,
415.569,4.639,,,,,,,,
415.937,4.932,,,,,,,,
416.306,4.956,,,,,,,,
416.674,5.762,,,,,,,,
417.043,5.493,,,,,,,,
417.411,5.786,,,,,,,,
417.78,6.25,,,,,,,,
418.148,6.348,,,,,,,,
418.516,7.031,,,,,,,,
418.885,6.592,,,,,,,,
419.253,6.494,,,,,,,,
419.621,5.225,,,,,,,,
419.989,4.883,,,,,,,,
420.357,4.517,,,,,,,,
420.725,4.419,,,,,,,,
421.093,4.858,,,,,,,,
421.461,4.419,,,,,,,,
421.829,4.37,,,,,,,,
422.197,4.297,,,,,,,,
422.565,4.395,,,,,,,,
422.933,4.639,,,,,,,,
423.301,4.517,,,,,,,,
423.669,4.834,,,,,,,,
424.037,5.078,,,,,,,,
424.404,5.347,,,,,,,,
424.772,5.688,,,,,,,,
425.14,6.055,,,,,,,,
425.507,6.812,,,,,,,,
425.875,6.396,,,,,,,,
426.242,5.811,,,,,,,,
426.61,7.031,,,,,,,,
426.977,5.151,,,,,,,,
427.345,5.103,,,,,,,,
427.712,4.907,,,,,,,,
428.08,4.81,,,,,,,,
428.447,4.834,,,,,,,,
428.814,4.907,,,,,,,,
429.182,4.663,,,,,,,,
429.549,4.883,,,,,,,,
429.916,5.005,,,,,,,,
430.283,5.103,,,,,,,,
430.65,5.322,,,,,,,,
431.017,5.908,,,,,,,,
431.384,6.958,,,,,,,,
431.752,8.936,,,,,,,,
432.118,16.04,,,,,,,,
432.485,99.976,,,,,,,,
432.852,99.976,,,,,,,,
433.219,99.976,,,,,,,,
433.586,99.976,,,,,,,,
433.953,99.976,,,,,,,,
434.32,15.869,,,,,,,,
434.686,6.958,,,,,,,,
435.053,6.177,,,,,,,,
435.42,6.128,,,,,,,,
435.786,6.299,,,,,,,,
436.153,5.713,,,,,,,,
436.519,5.225,,,,,,,,
436.886,5.103,,,,,,,,
437.252,4.907,,,,,,,,
437.619,5.347,,,,,,,,
437.985,5.273,,,,,,,,
438.352,5.322,,,,,,,,
438.718,5.347,,,,,,,,
439.084,5.371,,,,,,,,
439.45,5.737,,,,,,,,
439.817,6.274,,,,,,,,
440.183,7.397,,,,,,,,
440.549,7.593,,,,,,,,
440.915,6.787,,,,,,,,
441.281,6.03,,,,,,,,
441.647,5.371,,,,,,,,
442.013,5.347,,,,,,,,
442.379,5.078,,,,,,,,
442.745,4.858,,,,,,,,
443.111,5.249,,,,,,,,
443.477,5.542,,,,,,,,
443.843,5.884,,,,,,,,
444.208,5.786,,,,,,,,
444.574,5.688,,,,,,,,
444.94,5.933,,,,,,,,
445.306,5.933,,,,,,,,
445.671,5.859,,,,,,,,
446.037,5.688,,,,,,,,
446.402,5.786,,,,,,,,
446.768,5.957,,,,,,,,
447.133,5.811,,,,,,,,
447.499,6.812,,,,,,,,
447.864,6.982,,,,,,,,
448.23,6.763,,,,,,,,
448.595,6.03,,,,,,,,
448.96,5.884,,,,,,,,
449.325,5.688,,,,,,,,
449.691,5.103,,,,,,,,
450.056,5.273,,,,,,,,
450.421,8.618,,,,,,,,
450.786,5.396,,,,,,,,
451.151,5.713,,,,,,,,
451.516,5.322,,,,,,,,
451.881,5.371,,,,,,,,
452.246,5.42,,,,,,,,
452.611,6.079,,,,,,,,
452.976,5.078,,,,,,,,
453.341,5.176,,,,,,,,
453.706,5.566,,,,,,,,
454.071,5.273,,,,,,,,
454.435,5.786,,,,,,,,
454.8,5.688,,,,,,,,
455.165,5.884,,,,,,,,
455.529,5.957,,,,,,,,
455.894,6.396,,,,,,,,
456.259,6.763,,,,,,,,
456.623,6.812,,,,,,,,
456.988,6.104,,,,,,,,
457.352,5.542,,,,,,,,
457.716,5.2,,,,,,,,
458.081,5.249,,,,,,,,
458.445,5.2,,,,,,,,
458.809,4.736,,,,,,,,
459.174,4.883,,,,,,,,
459.538,4.98,,,,,,,,
459.902,5.054,,,,,,,,
